player,mat,overs,M,runs,wicket,econ,_0s,_4s,_6s,wide,no_ball
45789,64863,6.0,1,21,2,-99.0,25,1,1,2,0
46750,64863,2.0,0,7,0,-99.0,6,0,0,0,0
46774,64865,10.0,0,40,2,-99.0,33,2,0,1,0
46569,64865,6.0,0,63,0,-99.0,15,8,3,2,0
46592,64865,7.0,0,51,0,-99.0,15,7,0,0,0
45789,64865,7.0,0,37,1,-99.0,19,3,0,2,0
45821,64865,8.0,0,51,0,-99.0,21,4,2,0,0
46750,64865,6.0,0,45,0,-99.0,14,5,0,0,0
47270,64865,1.0,0,6,0,-99.0,2,0,0,0,0
46774,64866,10.0,2,47,0,-99.0,34,3,2,0,0
46592,64866,7.0,1,41,0,-99.0,26,4,1,2,1
46569,64866,10.0,0,60,0,-99.0,23,4,1,0,0
45821,64866,8.0,0,42,1,-99.0,21,3,0,0,1
46750,64866,3.0,0,22,0,-99.0,6,3,0,0,0
45789,64866,4.0,0,39,0,-99.0,4,3,1,0,0
47270,64866,8.0,0,52,1,-99.0,13,3,1,2,0
46774,64867,10.0,0,33,0,-99.0,35,1,0,0,1
46592,64867,10.0,1,41,2,-99.0,40,3,0,1,0
46569,64867,10.0,1,42,2,-99.0,36,2,1,3,0
45821,64867,9.0,0,39,2,-99.0,30,5,0,0,0
46750,64867,8.0,0,42,0,-99.0,28,4,1,0,0
45789,64867,3.0,0,24,0,-99.0,7,2,1,0,0
46774,64868,8.0,0,42,0,-99.0,30,3,1,3,1
46592,64868,10.0,1,45,3,-99.0,36,5,0,2,3
45821,64868,8.0,0,55,1,-99.0,25,7,1,0,0
46569,64868,-99.0,1,45,0,-99.0,26,4,2,3,0
44091,64868,7.0,0,41,0,-99.0,16,1,2,0,0
45789,64868,5.0,0,20,1,-99.0,17,2,0,0,0
46774,64869,-99.0,1,8,0,-99.0,-99,-99,-99,0,2
46569,64869,5.0,0,38,0,-99.0,-99,-99,-99,2,0
45789,64869,5.0,0,45,1,-99.0,-99,-99,-99,0,0
46592,64869,6.0,0,48,0,-99.0,-99,-99,-99,1,0
46248,64869,5.0,0,21,0,-99.0,-99,-99,-99,2,0
44091,64869,7.0,0,49,1,-99.0,-99,-99,-99,0,0
47270,64869,-99.0,0,36,1,-99.0,-99,-99,-99,1,0
46774,64872,10.0,2,33,0,-99.0,39,3,0,0,0
46569,64872,10.0,0,60,1,-99.0,33,6,2,1,0
46592,64872,10.0,1,63,2,-99.0,27,4,3,0,0
45821,64872,8.0,0,39,0,-99.0,26,3,0,0,2
45789,64872,5.0,0,32,0,-99.0,11,4,0,0,0
44091,64872,6.0,0,35,1,-99.0,10,2,0,1,0
46774,64875,7.0,0,36,1,-99.0,25,4,0,0,2
46592,64875,7.0,1,47,3,-99.0,20,3,2,1,1
45821,64875,6.0,0,30,2,-99.0,25,1,2,0,1
46248,64875,7.0,0,41,1,-99.0,19,3,1,1,0
44091,64875,5.0,0,25,0,-99.0,13,1,1,0,0
45789,64875,1.0,0,8,0,-99.0,2,1,0,0,0
46774,64877,7.0,0,37,1,-99.0,25,4,0,0,4
46592,64877,10.0,0,44,1,-99.0,38,6,0,0,0
45821,64877,7.0,2,27,0,-99.0,30,4,0,1,0
46248,64877,9.0,0,33,1,-99.0,29,1,0,1,1
45789,64877,4.0,0,15,0,-99.0,14,1,0,1,0
46750,64877,9.0,0,28,1,-99.0,34,1,0,1,0
46774,64902,10.0,1,47,1,-99.0,34,3,1,0,0
